Category,City,Segment,State/Province,Sub-Category,KPI Selector,Profit,Quantity,Sales,Total Profit,Total Quantity,Total Sales
Technology,Los Angeles,Consumer,California,Machines,287.968,97.1892,4,287.968,97.1892,4,287.968
Technology,Wilmington,Consumer,North Carolina,Phones,302.376,37.797,3,302.376,37.797,3,302.376
Technology,Jamestown,Corporate,New York,Accessories,159.98,57.5928,2,159.98,57.5928,2,159.98
Technology,San Francisco,Consumer,California,Phones,1679.96,125.997,5,1679.96,125.997,5,1679.96
Technology,Dover,Consumer,Delaware,Phones,19.98,5.1948,2,19.98,5.1948,2,19.98
Technology,Jackson,Consumer,Mississippi,Accessories,47.79,16.2486,3,47.79,16.2486,3,47.79
Technology,Lakeland,Consumer,Florida,Copiers,479.984,89.997,2,479.984,89.997,2,479.984
Technology,Philadelphia,Consumer,Pennsylvania,Copiers,1799.97,239.996,5,1799.97,239.996,5,1799.97
Technology,San Francisco,Consumer,California,Accessories,167.97,40.3128,3,167.97,40.3128,3,167.97
Technology,San Francisco,Consumer,California,Accessories,67.8,4.068,4,67.8,4.068,4,67.8
Technology,San Jose,Consumer,California,Phones,1432,125.3,5,1432,125.3,5,1432
Technology,Kent,Consumer,Washington,Phones,43.6,4.36,5,43.6,4.36,5,43.6
Technology,Houston,Consumer,Texas,Accessories,46.864,7.615400000,2,46.864,7.615400000,2,46.864
Technology,Fort Worth,Consumer,Texas,Accessories,58.112,7.264000000,2,58.112,7.264000000,2,58.112
Technology,Fort Worth,Consumer,Texas,Phones,100.792,6.2995,1,100.792,6.2995,1,100.792
Technology,Oakland,Consumer,California,Accessories,149.97,52.4895,3,149.97,52.4895,3,149.97
Technology,San Francisco,Consumer,California,Accessories,56.4,3.384,3,56.4,3.384,3,56.4
Technology,Cleveland,Consumer,Ohio,Phones,779.796,-168.9558,2,779.796,-168.9558,2,779.796
Technology,San Marcos,Corporate,Texas,Accessories,20.784,-3.6372,2,20.784,-3.6372,2,20.784
Technology,Vancouver,Home Office,British Columbia,Machines,343.2,38.61,1,343.2,38.61,1,343.2
Technology,Virginia Beach,Corporate,Virginia,Phones,617.97,173.0316,3,617.97,173.0316,3,617.97
Technology,Decatur,Consumer,Alabama,Phones,135.98,33.995,2,135.98,33.995,2,135.98
Technology,Decatur,Consumer,Alabama,Phones,44.95,12.586,1,44.95,12.586,1,44.95
Technology,Philadelphia,Consumer,Pennsylvania,Phones,55.188,-10.1178,2,55.188,-10.1178,2,55.188
Technology,Los Angeles,Corporate,California,Phones,201.584,20.1584,2,201.584,20.1584,2,201.584
Technology,Los Angeles,Corporate,California,Phones,83.984,31.494,2,83.984,31.494,2,83.984
Technology,San Francisco,Consumer,California,Accessories,99.99,37.9962,1,99.99,37.9962,1,99.99
Technology,San Francisco,Consumer,California,Phones,1113.504,125.2692,12,1113.504,125.2692,12,1113.504
Technology,Seattle,Corporate,Washington,Accessories,27.6,2.208,4,27.6,2.208,4,27.6
Technology,Seattle,Corporate,Washington,Phones,57.408,5.7408,6,57.408,5.7408,6,57.408
Technology,Chicago,Corporate,Illinois,Copiers,719.976,134.9955,3,719.976,134.9955,3,719.976
Technology,New York City,Corporate,New York,Phones,464,134.56,5,464,134.56,5,464
Technology,Jackson,Consumer,Mississippi,Phones,113.73,32.9817,3,113.73,32.9817,3,113.73
Technology,Jackson,Consumer,Mississippi,Phones,659.97,197.991,3,659.97,197.991,3,659.97
Technology,Little Rock,Consumer,Arkansas,Phones,881.93,229.3018,7,881.93,229.3018,7,881.93
Technology,Roswell,Consumer,Georgia,Phones,239.97,67.1916,3,239.97,67.1916,3,239.97
Technology,Huntsville,Home Office,Texas,Accessories,63.984,10.3974,2,63.984,10.3974,2,63.984
Technology,Huntsville,Home Office,Texas,Phones,7.992,0.5994,1,7.992,0.5994,1,7.992
Technology,Los Angeles,Consumer,California,Phones,911.424,68.3568,4,911.424,68.3568,4,911.424
Technology,Los Angeles,Consumer,California,Phones,907.152,90.7152,6,907.152,90.7152,6,907.152
Technology,Newark,Consumer,Delaware,Machines,65.97,31.0059,3,65.97,31.0059,3,65.97
Technology,Los Angeles,Consumer,California,Phones,139.8,12.2325,5,139.8,12.2325,5,139.8
Technology,Plano,Consumer,Texas,Machines,418.8,-97.72,2,418.8,-97.72,2,418.8
Technology,Plano,Consumer,Texas,Phones,201.584,20.1584,2,201.584,20.1584,2,201.584
Technology,Philadelphia,Consumer,Pennsylvania,Accessories,95.968,28.7904,4,95.968,28.7904,4,95.968
Technology,Philadelphia,Consumer,Pennsylvania,Machines,206.991,-172.4925,3,206.991,-172.4925,3,206.991
Technology,Long Beach,Consumer,New York,Phones,1214.85,352.3065,3,1214.85,352.3065,3,1214.85
Technology,Waynesboro,Consumer,Virginia,Phones,284.82,74.0532,1,284.82,74.0532,1,284.82
Technology,New York City,Consumer,New York,Phones,617.97,160.6722,3,617.97,160.6722,3,617.97
Technology,Lakewood,Consumer,New Jersey,Phones,1322.93,357.1911,7,1322.93,357.1911,7,1322.93
Technology,Louisville,Consumer,Colorado,Accessories,196.752,56.5662,6,196.752,56.5662,6,196.752
Technology,Chester,Consumer,Pennsylvania,Phones,82.782,-15.1767,3,82.782,-15.1767,3,82.782
Technology,Philadelphia,Consumer,Pennsylvania,Accessories,86.376,1.0797,3,86.376,1.0797,3,86.376
Technology,Salem,Corporate,Oregon,Phones,263.96,19.797,5,263.96,19.797,5,263.96
Technology,Southaven,Consumer,Mississippi,Accessories,223.96,53.7504,4,223.96,53.7504,4,223.96
Technology,Deltona,Corporate,Florida,Phones,575.92,71.99,2,575.92,71.99,2,575.92
Technology,Plainfield,Consumer,New Jersey,Phones,73.98,19.9746,2,73.98,19.9746,2,73.98
Technology,Jackson,Consumer,Mississippi,Accessories,479.97,163.1898,3,479.97,163.1898,3,479.97
Technology,New York City,Consumer,New York,Copiers,559.992,174.9975,1,559.992,174.9975,1,559.992
Technology,El Paso,Consumer,Texas,Phones,575.968,43.1976,4,575.968,43.1976,4,575.968
Technology,Hackensack,Corporate,New Jersey,Phones,197.97,57.4113,3,197.97,57.4113,3,197.97
Technology,Niagara Falls,Consumer,New York,Phones,164.85,47.8065,3,164.85,47.8065,3,164.85
Technology,Chicago,Consumer,Illinois,Accessories,23.84,3.278,4,23.84,3.278,4,23.84
Technology,Los Angeles,Home Office,California,Phones,255.936,28.7928,8,255.936,28.7928,8,255.936
Technology,Aurora,Home Office,Illinois,Phones,38.272,3.8272,4,38.272,3.8272,4,38.272
Technology,Philadelphia,Consumer,Pennsylvania,Phones,13.494,-2.249,1,13.494,-2.249,1,13.494
Technology,Philadelphia,Consumer,Pennsylvania,Phones,23.988,-13.993,2,23.988,-13.993,2,23.988
Technology,Sioux Falls,Corporate,South Dakota,Accessories,2.97,1.3068,3,2.97,1.3068,3,2.97
Technology,Bristol,Corporate,Connecticut,Phones,359.98,93.5948,2,359.98,93.5948,2,359.98
Technology,Riverside,Corporate,California,Accessories,41.94,15.0984,2,41.94,15.0984,2,41.94
Technology,Omaha,Consumer,Nebraska,Phones,35.98,10.0744,2,35.98,10.0744,2,35.98
Technology,New York City,Consumer,New York,Accessories,159.98,57.5928,2,159.98,57.5928,2,159.98
Technology,New York City,Consumer,New York,Accessories,99.98,7.998400000,2,99.98,7.998400000,2,99.98
Technology,Tucson,Consumer,Arizona,Accessories,479.04,-29.94,10,479.04,-29.94,10,479.04
Technology,San Francisco,Corporate,California,Accessories,45,4.95,3,45,4.95,3,45
Technology,Tucson,Consumer,Arizona,Accessories,1023.936,179.1888,8,1023.936,179.1888,8,1023.936
Technology,San Francisco,Corporate,California,Phones,604.752,60.475200000,6,604.752,60.475200000,6,604.752
Technology,San Francisco,Corporate,California,Phones,302.376,37.797,3,302.376,37.797,3,302.376
Technology,Draper,Corporate,Utah,Accessories,111.93,34.6983,7,111.93,34.6983,7,111.93
Technology,San Antonio,Consumer,Texas,Accessories,431.136,-26.946,9,431.136,-26.946,9,431.136
Technology,North Las Vegas,Consumer,Nevada,Accessories,170.97,70.0977,3,170.97,70.0977,3,170.97
Technology,North Las Vegas,Consumer,Nevada,Phones,911.984,113.998,2,911.984,113.998,2,911.984
Technology,San Francisco,Consumer,California,Accessories,238,38.08,2,238,38.08,2,238
Technology,Springfield,Home Office,Missouri,Accessories,21.2,9.116,2,21.2,9.116,2,21.2
Technology,Bangor,Corporate,Maine,Accessories,255.42,104.7222,9,255.42,104.7222,9,255.42
Technology,Pleasant Grove,Consumer,Utah,Phones,399.96,34.9965,5,399.96,34.9965,5,399.96
Technology,San Francisco,Consumer,California,Accessories,16.36,1.636,1,16.36,1.636,1,16.36
Technology,New York City,Corporate,New York,Phones,135.99,36.7173,1,135.99,36.7173,1,135.99
Technology,Columbia,Consumer,South Carolina,Accessories,62.91,22.6476,3,62.91,22.6476,3,62.91
Technology,New York City,Consumer,New York,Accessories,199.98,83.9916,2,199.98,83.9916,2,199.98
Technology,Glendale,Consumer,Arizona,Accessories,95.976,-10.7973,3,95.976,-10.7973,3,95.976
Technology,Trenton,Home Office,Michigan,Copiers,549.99,274.995,1,549.99,274.995,1,549.99
Technology,San Diego,Consumer,California,Copiers,1199.976,434.9913,3,1199.976,434.9913,3,1199.976
Technology,Trenton,Home Office,Michigan,Phones,299.98,83.9944,2,299.98,83.9944,2,299.98
Technology,San Diego,Consumer,California,Phones,445.96,55.745000000,5,445.96,55.745000000,5,445.96
Technology,Seattle,Home Office,Washington,Phones,219.168,-43.8336,2,219.168,-43.8336,2,219.168
Technology,Seattle,Home Office,Washington,Phones,1091.168,68.198,4,1091.168,68.198,4,1091.168
Technology,Saint Petersburg,Corporate,Florida,Phones,178.384,22.298,2,178.384,22.298,2,178.384
Technology,Woodstock,Consumer,Georgia,Accessories,272.61,98.1396,13,272.61,98.1396,13,272.61
Technology,Miami,Home Office,Florida,Accessories,158.928,41.7186,7,158.928,41.7186,7,158.928
Technology,San Francisco,Consumer,California,Phones,806.336,50.396,8,806.336,50.396,8,806.336
Technology,Little Rock,Corporate,Arkansas,Accessories,339.96,122.3856,4,339.96,122.3856,4,339.96
Technology,Denver,Consumer,Colorado,Phones,143.64,10.773,9,143.64,10.773,9,143.64
Technology,Los Angeles,Corporate,California,Accessories,95.1,30.432,5,95.1,30.432,5,95.1
Technology,Seattle,Consumer,Washington,Phones,1007.944,75.5958,7,1007.944,75.5958,7,1007.944
Technology,Los Angeles,Home Office,California,Accessories,176.8,22.984,8,176.8,22.984,8,176.8
Technology,Newark,Home Office,Delaware,Accessories,149.97,52.4895,3,149.97,52.4895,3,149.97
Technology,Springfield,Corporate,Virginia,Phones,579.95,168.1855,5,579.95,168.1855,5,579.95
Technology,San Francisco,Consumer,California,Phones,213.48,16.011,3,213.48,16.011,3,213.48
Technology,Santa Fe,Consumer,New Mexico,Accessories,92.52,18.504,9,92.52,18.504,9,92.52
Technology,New York City,Consumer,New York,Accessories,357,57.12,3,357,57.12,3,357
Technology,Montreal,Corporate,Quebec,Phones,391.98,109.75,2,391.98,109.75,2,391.98
Technology,Montreal,Corporate,Quebec,Phones,437.85,131.36,3,437.85,131.36,3,437.85
Technology,Montreal,Corporate,Quebec,Phones,40.29,10.0725,3,40.29,10.0725,3,40.29
Technology,Montreal,Corporate,Quebec,Phones,38.71,17.8066,7,38.71,17.8066,7,38.71
Technology,Toronto,Corporate,Ontario,Phones,209.5,58.66,10,209.5,58.66,10,209.5
Technology,Toronto,Corporate,Ontario,Phones,209.5,58.66,10,209.5,58.66,10,209.5
Technology,Toronto,Corporate,Ontario,Phones,209.5,58.66,10,209.5,58.66,10,209.5
Technology,Edmonton,Corporate,Alberta,Phones,7.99,2.7,1,7.99,2.7,1,7.99
Technology,Edmonton,Corporate,Alberta,Phones,19.936,7.2268,4,19.936,7.2268,4,19.936
Technology,Toronto,Home Office,Ontario,Copiers,1199.98,467.99,2,1199.98,467.99,2,1199.98
Technology,Toronto,Home Office,Ontario,Copiers,17.28,8.1216,6,17.28,8.1216,6,17.28
Technology,Vancouver,Home Office,British Columbia,Phones,2.21,0.6,1,2.21,0.6,1,2.21
Technology,Vancouver,Home Office,British Columbia,Phones,6.48,3.11,1,6.48,3.11,1,6.48
Technology,Vancouver,Home Office,British Columbia,Phones,32.7,8.5,3,32.7,8.5,3,32.7
Technology,Vancouver,Home Office,British Columbia,Phones,19.44,9.33,3,19.44,9.33,3,19.44
Technology,Vancouver,Home Office,British Columbia,Machines,343.2,38.61,1,343.2,38.61,1,343.2
Technology,Detroit,Consumer,Michigan,Accessories,84.99,30.5964,1,84.99,30.5964,1,84.99
Technology,Detroit,Consumer,Michigan,Phones,125.99,31.4975,1,125.99,31.4975,1,125.99
Technology,Gladstone,Consumer,Missouri,Accessories,38.04,12.1728,2,38.04,12.1728,2,38.04
Technology,La Porte,Consumer,Indiana,Phones,69.9,18.873,2,69.9,18.873,2,69.9
Technology,Oklahoma City,Consumer,Oklahoma,Phones,221.98,62.1544,2,221.98,62.1544,2,221.98
Technology,Eau Claire,Consumer,Wisconsin,Phones,239.9,71.97,2,239.9,71.97,2,239.9
Technology,Columbus,Consumer,Indiana,Accessories,99.39,40.7499,3,99.39,40.7499,3,99.39
Technology,Omaha,Consumer,Nebraska,Accessories,149.97,50.9898,3,149.97,50.9898,3,149.97
Technology,Cedar Rapids,Consumer,Iowa,Phones,278.4,80.736,3,278.4,80.736,3,278.4
Technology,Detroit,Consumer,Michigan,Accessories,199.95,63.984,5,199.95,63.984,5,199.95
Technology,Wichita,Consumer,Kansas,Phones,224.75,62.93,5,224.75,62.93,5,224.75
Technology,Detroit,Consumer,Michigan,Accessories,175.23,61.3305,11,175.23,61.3305,11,175.23
Technology,Houston,Consumer,Texas,Phones,7.992,0.6993,1,7.992,0.6993,1,7.992
Technology,Austin,Consumer,Texas,Accessories,47.984,14.3952,2,47.984,14.3952,2,47.984
Technology,Chicago,Consumer,Illinois,Phones,95.984,5.999,2,95.984,5.999,2,95.984
Technology,Chicago,Consumer,Illinois,Phones,11.12,3.475,2,11.12,3.475,2,11.12
Technology,Dallas,Consumer,Texas,Phones,35.184,12.3144,2,35.184,12.3144,2,35.184
Technology,Houston,Consumer,Texas,Phones,150.384,15.0384,2,150.384,15.0384,2,150.384
Technology,Allen,Consumer,Texas,Accessories,21.48,-0.268500000,3,21.48,-0.268500000,3,21.48
Technology,Dallas,Consumer,Texas,Accessories,119.448,-13.4379,3,119.448,-13.4379,3,119.448
Technology,Chicago,Consumer,Illinois,Phones,323.976,20.2485,3,323.976,20.2485,3,323.976
Technology,El Paso,Consumer,Texas,Phones,40.68,-9.153,3,40.68,-9.153,3,40.68
Technology,Pearland,Consumer,Texas,Phones,470.376,52.9173,3,470.376,52.9173,3,470.376
Technology,The Colony,Consumer,Texas,Phones,67.176,6.7176,3,67.176,6.7176,3,67.176
Technology,Chicago,Consumer,Illinois,Phones,2735.952,341.994,6,2735.952,341.994,6,2735.952
Technology,Austin,Consumer,Texas,Accessories,62.592,13.3008,8,62.592,13.3008,8,62.592
Technology,Houston,Consumer,Texas,Phones,115.136,11.5136,8,115.136,11.5136,8,115.136
Technology,New York City,Consumer,New York,Accessories,78.15,34.386,1,78.15,34.386,1,78.15
Technology,Troy,Consumer,New York,Accessories,30,3.3,2,30,3.3,2,30
Technology,Wilmington,Consumer,Delaware,Phones,391.98,113.6742,2,391.98,113.6742,2,391.98
Technology,Lowell,Consumer,Massachusetts,Phones,271.9,78.851,2,271.9,78.851,2,271.9
Technology,New York City,Consumer,New York,Phones,133.98,33.495,2,133.98,33.495,2,133.98
Technology,New York City,Consumer,New York,Phones,307.98,89.3142,2,307.98,89.3142,2,307.98
Technology,Everett,Consumer,Massachusetts,Accessories,177,30.09,3,177,30.09,3,177
Technology,New York City,Consumer,New York,Phones,128.85,3.8655,3,128.85,3.8655,3,128.85
Technology,New York City,Consumer,New York,Phones,239.97,2.399700000,3,239.97,2.399700000,3,239.97
Technology,New York City,Consumer,New York,Phones,1259.97,327.5922,3,1259.97,327.5922,3,1259.97
Technology,Rochester,Consumer,New York,Phones,359.97,100.7916,3,359.97,100.7916,3,359.97
Technology,New York City,Consumer,New York,Accessories,247.8,34.692,4,247.8,34.692,4,247.8
Technology,New York City,Consumer,New York,Accessories,119.96,52.7824,4,119.96,52.7824,4,119.96
Technology,New York City,Consumer,New York,Accessories,88.4,11.492,4,88.4,11.492,4,88.4
Technology,New York City,Consumer,New York,Phones,119.96,33.5888,4,119.96,33.5888,4,119.96
Technology,Rochester,Consumer,New York,Phones,263.96,71.2692,4,263.96,71.2692,4,263.96
Technology,Lowell,Consumer,Massachusetts,Phones,979.95,284.1855,5,979.95,284.1855,5,979.95
Technology,New York City,Consumer,New York,Phones,629.95,157.4875,5,629.95,157.4875,5,629.95
Technology,New York City,Consumer,New York,Phones,979.95,274.386,5,979.95,274.386,5,979.95
Technology,Baltimore,Consumer,Maryland,Accessories,98.16,9.816,6,98.16,9.816,6,98.16
Technology,New York City,Consumer,New York,Phones,773.94,224.4426,6,773.94,224.4426,6,773.94
Technology,Wilmington,Consumer,Delaware,Phones,68.04,19.7316,7,68.04,19.7316,7,68.04
Technology,New York City,Consumer,New York,Phones,1349.91,661.4559,9,1349.91,661.4559,9,1349.91
Technology,Philadelphia,Consumer,Pennsylvania,Accessories,47.496,-1.1874,1,47.496,-1.1874,1,47.496
Technology,Toledo,Consumer,Ohio,Accessories,127.984,25.5968,2,127.984,25.5968,2,127.984
Technology,Philadelphia,Consumer,Pennsylvania,Accessories,527.92,85.787000000,2,527.92,85.787000000,2,527.92
Technology,Philadelphia,Consumer,Pennsylvania,Accessories,47.984,14.3952,2,47.984,14.3952,2,47.984
Technology,Cincinnati,Consumer,Ohio,Accessories,53.04,-4.641,3,53.04,-4.641,3,53.04
Technology,Newark,Consumer,Ohio,Accessories,431.976,-75.5958,3,431.976,-75.5958,3,431.976
Technology,Philadelphia,Consumer,Pennsylvania,Accessories,16.776,4.8231,3,16.776,4.8231,3,16.776
Technology,Philadelphia,Consumer,Pennsylvania,Accessories,71.976,19.7934,3,71.976,19.7934,3,71.976
Technology,Philadelphia,Consumer,Pennsylvania,Accessories,617.976,-7.724700000,3,617.976,-7.724700000,3,617.976
Technology,Newark,Consumer,Ohio,Accessories,132.52,34.7865,5,132.52,34.7865,5,132.52
Technology,Philadelphia,Consumer,Pennsylvania,Accessories,252,53.55,5,252,53.55,5,252
Technology,Newark,Consumer,Ohio,Accessories,2025.36,607.608,6,2025.36,607.608,6,2025.36
Technology,Newark,Consumer,Ohio,Phones,101.988,-16.998,2,101.988,-16.998,2,101.988
Technology,Philadelphia,Consumer,Pennsylvania,Phones,683.988,-113.998,2,683.988,-113.998,2,683.988
Technology,Philadelphia,Consumer,Pennsylvania,Phones,83.988,-20.997,2,83.988,-20.997,2,83.988
Technology,Philadelphia,Consumer,Pennsylvania,Phones,290.898,-67.8762,3,290.898,-67.8762,3,290.898
Technology,Columbus,Consumer,Ohio,Copiers,1439.976,191.9968,4,1439.976,191.9968,4,1439.976
Technology,Dublin,Consumer,Ohio,Phones,158.376,-34.3148,4,158.376,-34.3148,4,158.376
Technology,Toledo,Consumer,Ohio,Phones,629.958,94.4937,7,629.958,94.4937,7,629.958
Technology,Philadelphia,Consumer,Pennsylvania,Machines,12.585,-18.0385,1,12.585,-18.0385,1,12.585
Technology,Newark,Consumer,Ohio,Machines,1799.994,-2639.9912,2,1799.994,-2639.9912,2,1799.994
Technology,Philadelphia,Consumer,Pennsylvania,Machines,241.17,-168.819,2,241.17,-168.819,2,241.17
Technology,Newark,Consumer,Ohio,Machines,224.937,-164.9538,3,224.937,-164.9538,3,224.937
Technology,Dublin,Consumer,Ohio,Machines,479.988,-383.9904,4,479.988,-383.9904,4,479.988
Technology,Jonesboro,Consumer,Arkansas,Phones,59.98,17.994,2,59.98,17.994,2,59.98
Technology,Waynesboro,Consumer,Virginia,Phones,569.64,148.1064,2,569.64,148.1064,2,569.64
Technology,Little Rock,Consumer,Arkansas,Accessories,26.85,5.1015,3,26.85,5.1015,3,26.85
Technology,Little Rock,Consumer,Arkansas,Accessories,323.37,129.348,3,323.37,129.348,3,323.37
Technology,Virginia Beach,Consumer,Virginia,Accessories,89.97,18.8937,3,89.97,18.8937,3,89.97
Technology,Bowling Green,Consumer,Kentucky,Accessories,71,27.69,4,71,27.69,4,71
Technology,Fayetteville,Consumer,Arkansas,Accessories,34.95,15.378,5,34.95,15.378,5,34.95
Technology,Little Rock,Consumer,Arkansas,Accessories,179.94,75.5748,6,179.94,75.5748,6,179.94
Technology,Monroe,Consumer,Louisiana,Accessories,106.5,41.535,6,106.5,41.535,6,106.5
Technology,Tampa,Consumer,Florida,Accessories,11.672,-0.729500000,1,11.672,-0.729500000,1,11.672
Technology,Boca Raton,Consumer,Florida,Accessories,18.464,2.308,2,18.464,2.308,2,18.464
Technology,Fayetteville,Consumer,North Carolina,Phones,44.784,4.4784,2,44.784,4.4784,2,44.784
Technology,Jacksonville,Consumer,North Carolina,Accessories,119.976,-17.9964,3,119.976,-17.9964,3,119.976
Technology,Jacksonville,Consumer,North Carolina,Phones,47.976,4.7976,3,47.976,4.7976,3,47.976
Technology,Charlotte,Consumer,North Carolina,Phones,271.96,16.9975,5,271.96,16.9975,5,271.96
Technology,Jacksonville,Consumer,North Carolina,Phones,7.92,0.693,5,7.92,0.693,5,7.92
Technology,Hialeah,Consumer,Florida,Machines,120,-7.2,2,120,-7.2,2,120
Technology,Tallahassee,Consumer,Florida,Machines,695.7,-27.828,2,695.7,-27.828,2,695.7
Technology,Hialeah,Consumer,Florida,Machines,32.985,-1.9791,3,32.985,-1.9791,3,32.985
Technology,Los Angeles,Consumer,California,Accessories,29.99,6.2979,1,29.99,6.2979,1,29.99
